name,bfs_nummer,relation,iou,area_diff_pct,hausdorff_distance,symmetric_diff_pct,swisstopo_area,osm_area,quality_category
Adliswil,131,https://osm.org/relation/1682077,0.9990168020443336,0.024717875184335752,3.766631589069694,0.09835599599163818,7768065.370789585,7766145.270086995,Excellent
Rheinwald,3714,https://osm.org/relation/9173036,0.9993322291484457,0.006339227219340679,62.0123504100709,0.06679727121492451,136810626.26585636,136801953.52939716,Excellent
Grens,5722,https://osm.org/relation/1684998,0.9945965081334411,0.2816778977826839,67.25357499402331,0.5410499440270264,2559718.954601545,2552508.7920610784,Excellent
Val Terbi,6730,https://osm.org/relation/2758687,0.9901583456812308,0.014908780643336252,398.97391202893266,0.9889585624978348,46687399.64717521,46680439.12517373,Excellent
Windisch,4123,https://osm.org/relation/1684461,0.9962353458851371,0.023403120656387978,7.458488842791893,0.37713124350284416,4906775.814463526,4905627.475799329,Excellent
Pleigne,6719,https://osm.org/relation/1685621,0.9963958497029862,0.052596013991721154,28.548971904882976,0.3609707441388944,17840527.889158078,17831144.4826133,Excellent
Risch,1707,https://osm.org/relation/1683147,0.9990095554146378,0.015689476189146116,11.775781394376118,0.09908575823419309,22967071.472768426,22963468.05955836,Excellent
Zeihen,4183,https://osm.org/relation/1684470,0.9957142043919713,0.019580311102007933,15.61196368737969,0.4294578865590546,6875403.28565953,6874057.06030668,Excellent
Vucherens,5692,https://osm.org/relation/1685197,0.9976625141227146,0.0408951006176788,5.702576261590544,0.23397424761825797,3276336.9538380806,3274997.0925442344,Excellent
Roche (VD),5413,https://osm.org/relation/1685121,0.9923224690370719,0.002392472155814231,142.3695045900758,0.7707208972083075,6447636.674207325,6447790.932119464,Excellent
Schönenwerd,2583,https://osm.org/relation/1683574,0.9980695503628283,0.01576983394124164,5.903732043158831,0.19324671167444352,3712533.9929903927,3713119.4534360995,Excellent
Corcelles-près-Payerne,5816,https://osm.org/relation/1684921,0.9978036443117799,0.0687207736658013,46.98336231476909,0.2199525835069983,12115641.73945062,12123967.702188548,Excellent
Reinach (AG),4141,https://osm.org/relation/1684398,0.9949927719487306,0.03212047743615258,21.438735692391717,0.5018989490976519,9475059.763963653,9472016.329530107,Excellent
Missy,5821,https://osm.org/relation/1685049,0.9991406475948367,0.009792485187140394,3.0523647637603983,0.08597639012287873,3113589.3004204566,3113894.1981914886,Excellent
Düdingen,2293,https://osm.org/relation/1683310,0.9997147888015284,0.004983015682773305,8.935543827363976,0.028524476991372904,30763230.16611676,30761697.229533054,Excellent
Montpreveyres,5792,https://osm.org/relation/1685061,0.9971935987221163,0.021822875049223544,5.5408842108819485,0.2810038106428308,4123637.305630929,4122737.409414238,Excellent
Schattdorf,1213,https://osm.org/relation/1683102,0.9986929641688421,0.040925736809398566,61.37441641334181,0.13076229291455965,16333169.079077043,16326484.609287106,Excellent
Gachnang,4571,https://osm.org/relation/1684523,0.9987290564709549,0.050519849685434486,3.90587750132737,0.12714304478152327,9736115.557591831,9731196.886646936,Excellent
Treytorrens (Payerne),5828,https://osm.org/relation/1685167,0.9984813117800753,0.04857094373148807,6.398208311455897,0.15194732023500349,3073698.9655139744,3072206.0409189593,Excellent
Chavannes-des-Bois,5708,https://osm.org/relation/1684890,0.9976516326986169,0.05420237111575805,3.7407417042284923,0.23517651409423057,2124289.277579928,2125440.692737734,Excellent
Horn,4421,https://osm.org/relation/1684531,0.9876260147046905,0.03526627480112089,77.9877545076483,1.2448824157012155,1754364.9954455413,1753746.2962652328,Excellent
Arni (BE),602,https://osm.org/relation/1682366,0.9982839271568924,0.0425397316527181,29.45968842953366,0.17179118804613086,10429492.617229909,10433929.295402018,Excellent
Morlon,2143,https://osm.org/relation/1683367,0.9990353002604404,0.0012779176570893416,7.027770554225235,0.09651714539186955,4236409.299949351,4236463.437771821,Excellent
Saubraz,5437,https://osm.org/relation/1685147,0.9979986011420212,0.027534367624022185,3.370218977568424,0.20036794751451628,3707138.612721019,3708159.3498949776,Excellent
Berlingen,4801,https://osm.org/relation/1684503,0.9976715725857995,0.041680366197281604,7.1225468529940645,0.23316271750553194,3577561.257811057,3579052.3984442446,Excellent
Münsingen,616,https://osm.org/relation/1682570,0.9982942709904703,0.006654291527104599,59.956788512802916,0.17072418075571158,15774325.734072614,15775375.403693395,Excellent
Falera,3572,https://osm.org/relation/1684074,0.9992556310853792,0.008069458909912681,35.921089132993586,0.074467610476314,22361420.679639373,22363225.12529279,Excellent
Marsens,2140,https://osm.org/relation/1683359,0.9985816870016895,0.0014474648000157,18.68724387845805,0.14193297900455457,8312386.336375482,8312506.655241743,Excellent
L'Isle,5486,https://osm.org/relation/1685009,0.9987250631477824,0.019953497125698987,32.302027576581345,0.12756228242499468,16222904.212987322,16219667.176261479,Excellent
Wuppenau,4791,https://osm.org/relation/1684572,0.998520990523069,0.0032622234500334843,4.711231446713054,0.1480128163018393,12119144.53982462,12119539.893399742,Excellent
Wynigen,424,https://osm.org/relation/1682733,0.9987754271223629,0.042869031822771596,35.21554519325852,0.12255857684503879,28320191.915642146,28332332.507726733,Excellent
Fisibach,4306,https://osm.org/relation/1684308,0.994373703170164,0.06920478214843463,11.427022080387598,0.5644121414279087,5769405.692854636,5773398.397495636,Excellent
Tentlingen,2307,https://osm.org/relation/1683410,0.9981241787312837,0.021775633816345525,3.758070157701362,0.1877786700817604,3610249.0540108723,3611035.2086247317,Excellent
Unterengstringen,249,https://osm.org/relation/1682222,0.9978540508257601,0.035267924479874334,6.925023463389394,0.21486330187326427,3336885.2089399262,3338062.0590953953,Excellent
