name,relation,bfs_nummer,bezirksnummer,kantonsnummer,iou,area_diff_pct,hausdorff_distance,symmetric_diff_pct,swisstopo_area,osm_area,geom_type
Adliswil,,131,106,1,,,,,,,
Rheinwald,,3714,1851,18,,,,,,,
Grens,,5722,2228,22,,,,,,,
Val Terbi,,6730,2601,26,,,,,,,
Windisch,,4123,1904,19,,,,,,,
Pleigne,,6719,2601,26,,,,,,,
Risch,,1707,,9,,,,,,,
Zeihen,,4183,1906,19,,,,,,,
Vucherens,,5692,2222,22,,,,,,,
Roche (VD),,5413,2221,22,,,,,,,
Schönenwerd,,2583,1108,11,,,,,,,
Corcelles-près-Payerne,,5816,2222,22,,,,,,,
Reinach (AG),,4141,1905,19,,,,,,,
Missy,,5821,2222,22,,,,,,,
Düdingen,,2293,1006,10,,,,,,,
Montpreveyres,,5792,2226,22,,,,,,,
Schattdorf,,1213,,4,,,,,,,
Gachnang,,4571,2012,20,,,,,,,
Treytorrens (Payerne),,5828,2222,22,,,,,,,
Chavannes-des-Bois,,5708,2228,22,,,,,,,
Horn,,4421,2011,20,,,,,,,
Arni (BE),,602,246,2,,,,,,,
Morlon,,2143,1003,10,,,,,,,
Saubraz,,5437,2227,22,,,,,,,
Berlingen,,4801,2012,20,,,,,,,
Münsingen,,616,246,2,,,,,,,
Falera,,3572,1850,18,,,,,,,
Marsens,,2140,1003,10,,,,,,,
L'Isle,,5486,2227,22,,,,,,,
Wuppenau,,4791,2015,20,,,,,,,
Wynigen,,424,245,2,,,,,,,
Fisibach,,4306,1911,19,,,,,,,
Tentlingen,,2307,1006,10,,,,,,,
Unterengstringen,,249,111,1,,,,,,,
Wiggiswil,,553,246,2,,,,,,,
Crans-Montana,,6253,2311,23,,,,,,,
Root,,1065,312,3,,,,,,,
Seon,,4209,1907,19,,,,,,,
Kloten,,62,103,1,,,,,,,
Lantsch/Lenz,,3513,1841,18,,,,,,,
Brunegg,,4193,1907,19,,,,,,,
Sissach,,2861,1304,13,,,,,,,
Ammerswil,,4191,1907,19,,,,,,,
Le Noirmont,,6754,2602,26,,,,,,,
Crassier,,5714,2228,22,,,,,,,
La Baroche,,6810,2603,26,,,,,,,
Meyrin,,6630,,25,,,,,,,
Veltheim (AG),,4120,1904,19,,,,,,,
Suscévaz,,5930,2224,22,,,,,,,
Endingen,,4305,1911,19,,,,,,,
Morschach,,1366,506,5,,,,,,,
Gränichen,,4006,1901,19,,,,,,,
Cheseaux-sur-Lausanne,,5582,2225,22,,,,,,,
Mont-Tramelan,,437,241,2,,,,,,,
Buckten,,2843,1304,13,,,,,,,
Nidau,,743,242,2,,,,,,,
Staffelbach,,4284,1910,19,,,,,,,
Grenchen,,2546,1107,11,,,,,,,
Rüttenen,,2555,1107,11,,,,,,,
Magliaso,,5193,2105,21,,,,,,,
Eschenbach (SG),,3342,1726,17,,,,,,,
Winterthur,,230,110,1,,,,,,,
Bercher,,5512,2223,22,,,,,,,
Saint-Martin (FR),,2335,1007,10,,,,,,,
Güttingen,,4656,2013,20,,,,,,,
Benken (SG),,3312,1726,17,,,,,,,
Dully,,5855,2228,22,,,,,,,
Forel (Lavaux),,5604,2226,22,,,,,,,
Liedertswil,,2890,1305,13,,,,,,,
Terre di Pedemonte,,5396,2104,21,,,,,,,
Laupen,,667,246,2,,,,,,,
Echarlens,,2131,1003,10,,,,,,,
Bedano,,5148,2105,21,,,,,,,
Erschwil,,2615,1110,11,,,,,,,
Mézières (FR),,2087,1002,10,,,,,,,
Schaffhausen,,2939,1403,14,,,,,,,
Quarten,,3295,1725,17,,,,,,,
Hergiswil (NW),,1507,,7,,,,,,,
Frauenkappelen,,663,246,2,,,,,,,
Amden,,3311,1726,17,,,,,,,
Gansingen,,4164,1906,19,,,,,,,
Orny,,5493,2227,22,,,,,,,
Künten,,4031,1902,19,,,,,,,
Leutwil,,4138,1905,19,,,,,,,
Walliswil bei Wangen,,991,244,2,,,,,,,
Baulmes,,5745,2224,22,,,,,,,
Sion,,6266,2312,23,,,,,,,
Langrickenbach,,4681,2013,20,,,,,,,
Oensingen,,2407,1101,11,,,,,,,
Titterten,,2894,1305,13,,,,,,,
Unterlunkhofen,,4079,1903,19,,,,,,,
Rechthalten,,2301,1006,10,,,,,,,
Aeschi (SO),,2511,1106,11,,,,,,,
Cortaillod,,6408,,24,,,,,,,
Mumpf,,4255,1909,19,,,,,,,
Dietwil,,4231,1908,19,,,,,,,
Flumenthal,,2545,1107,11,,,,,,,
Davos,,3851,1849,18,,,,,,,
Pieterlen,,392,242,2,,,,,,,
Küttigen,,4008,1901,19,,,,,,,
Mont-Vully,,2284,1005,10,,,,,,,
Mammern,,4826,2012,20,,,,,,,
Vufflens-le-Château,,5653,2227,22,,,,,,,
Tolochenaz,,5649,2227,22,,,,,,,
Avegno Gordevio,,5324,2108,21,,,,,,,
Braunau,,4723,2014,20,,,,,,,
Champéry,,6151,2308,23,,,,,,,
Acquarossa,,5048,2102,21,,,,,,,
Inwil,,1033,313,3,,,,,,,
Bernex,,6607,,25,,,,,,,
Commugny,,5711,2228,22,,,,,,,
Wiesendangen,,298,110,1,,,,,,,
Yvonand,,5939,2224,22,,,,,,,
Benken (ZH),,22,102,1,,,,,,,
Cornaux,,6451,,24,,,,,,,
Hirschthal,,4007,1901,19,,,,,,,
Essertines-sur-Yverdon,,5520,2223,22,,,,,,,
Rottenschwil,,4238,1908,19,,,,,,,
Boussens,1684865,5473,2223,22,0.9999941769786576,0.00023157833279610518,0.017,0.0005823031553561992,3156144.8304574704,3156137.5215098914,MultiPolygon
Ramsen,,2963,1405,14,,,,,,,
Rolle,,5861,2228,22,,,,,,,
Mandach,,4105,1904,19,,,,,,,
Altdorf (UR),,1201,,4,,,,,,,
Gampel-Bratsch,,6118,2306,23,,,,,,,
Oulens-sous-Echallens,,5529,2223,22,,,,,,,
Kaisten,,4169,1906,19,,,,,,,
Trub,,908,245,2,,,,,,,
Pohlern,,936,247,2,,,,,,,
Hinwil,,117,105,1,,,,,,,
Blatten,,6192,2309,23,,,,,,,
Ringgenberg (BE),,590,250,2,,,,,,,
Dürnten,,113,105,1,,,,,,,
Montilliez,,5540,2223,22,,,,,,,
Deitingen,,2516,1106,11,,,,,,,
Arlesheim,,2763,1301,13,,,,,,,
Eggerberg,,6004,2301,23,,,,,,,
Siglistorf,,4319,1911,19,,,,,,,
Bardonnex,,6605,,25,,,,,,,
Bettlach,,2543,1107,11,,,,,,,
Boécourt,,6702,2601,26,,,,,,,
Le Cerneux-Péquignot,,6434,,24,,,,,,,
Port-Valais,,6154,2308,23,,,,,,,
Chavannes-sur-Moudon,,5665,2222,22,,,,,,,
Oberdiessbach,,619,246,2,,,,,,,
Rain,,1037,313,3,,,,,,,
Stadel,,100,104,1,,,,,,,
Abtwil,,4221,1908,19,,,,,,,
Thayngen,,2920,1402,14,,,,,,,
Serravalle,,5050,2102,21,,,,,,,
Giornico,,5073,2103,21,,,,,,,
Thal,,3237,1722,17,,,,,,,
Ursenbach,,344,244,2,,,,,,,
Bofflens,,5747,2224,22,,,,,,,
Saint-Livres,,5435,2227,22,,,,,,,
Lohn (SH),,2917,1402,14,,,,,,,
Auswil,,322,244,2,,,,,,,
Ursins,,5932,2224,22,,,,,,,
Hettlingen,,221,110,1,,,,,,,
Neckertal,,3396,1727,17,,,,,,,
Trun,,3987,1850,18,,,,,,,
Grosswangen,,1086,314,3,,,,,,,
Härkingen,,2402,1101,11,,,,,,,
Degersheim,,3401,1728,17,,,,,,,
Klosters,,3871,1849,18,,,,,,,
Trogen,,3025,1502,15,,,,,,,
Lützelflüh,,955,245,2,,,,,,,
Grosshöchstetten,,608,246,2,,,,,,,
Démoret,,5912,2224,22,,,,,,,
Lutzenberg,,3033,1503,15,,,,,,,
Rorschacherberg,,3216,1722,17,,,,,,,
Sarmenstorf,,4076,1903,19,,,,,,,
Premier,,5759,2224,22,,,,,,,
Isenthal,,1211,,4,,,,,,,
Kappel am Albis,,6,101,1,,,,,,,
Grandson,,5561,2224,22,,,,,,,
Vully-les-Lacs,,5464,2222,22,,,,,,,
Villigen,,4121,1904,19,,,,,,,
Mellikon,,4314,1911,19,,,,,,,
