name,country,relation,bfs_nummer,bezirksnummer,kantonsnummer,iou,area_diff_pct,hausdorff_distance,symmetric_diff_pct,swisstopo_area,osm_area
Adliswil,CH,1682077,131,106,1,0.9999954665353028,2.2216870116647667e-05,0.015,0.0004533474469418427,7768065.370789585,7768063.644968591
Rheinwald,CH,9173036,3714,1851,18,0.9999987215987362,7.2978676551887834e-06,0.016,0.00012784021214363406,136810626.26585636,136810636.2501148
Grens,CH,1684998,5722,2228,22,0.9999920267880803,2.1910005484354746e-05,0.013,0.0007973244578439629,2559718.954601545,2559719.515436108
Val Terbi,CH,2758687,6730,2601,26,0.9999969347895515,9.449885660979785e-06,0.015,0.00030652152878267837,46687399.64717521,46687404.05908109
Windisch,CH,1684461,4123,1904,19,0.9999836432690961,0.00026086884716577675,0.457,0.0016356843342327343,4906775.814463526,4906763.014214026
Pleigne,CH,1685621,6719,2601,26,0.9999971940021579,9.547492940360394e-06,0.015,0.00028060016455110846,17840527.889158078,17840526.185834937
Risch,CH,1683147,1707,,9,0.9999976821551612,1.665729217461021e-05,0.016,0.00023178477162099636,22967071.472768426,22967075.298460625
Zeihen,CH,1684470,4183,1906,19,0.9999941583471771,3.419736541086948e-05,0.015,0.0005841670886163961,6875403.28565953,6875405.636866315
Vucherens,CH,1685197,5692,2222,22,0.9999941637521134,8.047637144003465e-06,0.015,0.0005836264682297789,3276336.9538380806,3276336.690170371
Roche (VD),CH,1685121,5413,2221,22,0.9999953356250307,9.935796980735906e-05,0.014,0.00046643835289299126,6447636.674207325,6447630.267966425
Schönenwerd,CH,1683574,2583,1108,11,0.9999932878066151,9.664131704036901e-05,0.014,0.0006712219153927881,3712533.9929903927,3712537.580832139
Corcelles-près-Payerne,CH,1684921,5816,2222,22,0.9999963820156126,6.380856371634328e-05,0.013,0.00036179920857305916,12115641.73945062,12115649.4702676
Reinach (AG),CH,1684398,4141,1905,19,0.9999945890505854,2.4673729649441015e-07,0.015,0.00054109640585781,9475059.763963653,9475059.78734216
Missy,CH,1685049,5821,2222,22,0.999335024672539,0.002511550247433742,3.052,0.06651881437179802,3113589.3004204566,3113511.101060678
Düdingen,CH,1683310,2293,1006,10,0.9999981756911497,1.179174792328537e-05,0.015,0.0001824310407011484,30763230.16611676,30763226.538594205
Montpreveyres,CH,1685061,5792,2226,22,0.9999922049744359,0.00019630140244878365,0.015,0.0007795063595628227,4123637.305630929,4123645.4003887917
