Name,Country,OSM Relation,BFS Number,Bezirksnummer,Kantonsnummer,IoU,Area Diff [%],Hausdorff Distance [m],Symmetric Diff [%],Area swisstopo [m²],Area OSM [m²]
Adliswil,CH,1682077,131,106,1,0.9992966580922488,0.004318679041928901,3.647,0.0703574146802844,7768065.370789585,7767729.892978453
Rheinwald,CH,9173036,3714,1851,18,0.9999987215987362,7.297867938375991e-06,0.016,0.00012784021214363406,136810626.26585636,136810636.2501152
Grens,CH,1684998,5722,2228,22,0.9999920267880803,2.1910005484354746e-05,0.013,0.0007973244578439629,2559718.954601545,2559719.515436108
Val Terbi,CH,2758687,6730,2601,26,0.9999969347895515,9.449885629062906e-06,0.015,0.00030652152878267837,46687399.64717521,46687404.05908108
Windisch,CH,1684461,4123,1904,19,0.9999836432690961,0.0002608688469949537,0.457,0.0016356843342327343,4906775.814463526,4906763.014214034
Pleigne,CH,1685621,6719,2601,26,0.9999971940021579,9.547492835955123e-06,0.015,0.00028060016455110846,17840527.889158078,17840526.185834955
Risch,CH,1683147,1707,,9,0.9999976821551612,1.6657292109729664e-05,0.016,0.00023178477162099636,22967071.472768426,22967075.29846061
Zeihen,CH,1684470,4183,1906,19,0.9999941583471771,3.4197365343140904e-05,0.015,0.0005841670886163961,6875403.28565953,6875405.636866311
Vucherens,CH,1685197,5692,2222,22,0.9983508203254035,0.02107037506818115,5.703,0.165036680612182,3276336.9538380806,3275646.6173534095
Roche (VD),CH,1685121,5413,2221,22,0.9992086697774237,0.018540420322889457,3.15,0.07917168352801056,6447636.674207325,6448832.093147616
Schönenwerd,CH,1683574,2583,1108,11,0.998276761745833,0.018703416738467007,3.524,0.1724885600808274,3712533.9929903927,3713228.363694659
Corcelles-près-Payerne,CH,1684921,5816,2222,22,0.9999963820156126,6.380856376246493e-05,0.013,0.00036179920857305916,12115641.73945062,12115649.470267605
Reinach (AG),CH,1684398,4141,1905,19,0.9999945890505854,2.467372178608101e-07,0.015,0.00054109640585781,9475059.763963653,9475059.787342152
Missy,CH,1685049,5821,2222,22,0.999335024672539,0.0025115502474486974,3.052,0.06651881437179802,3113589.3004204566,3113511.1010606773
Düdingen,CH,1683310,2293,1006,10,0.9999981756911497,1.179174802016181e-05,0.015,0.0001824310407011484,30763230.16611676,30763226.538594175
Montpreveyres,CH,1685061,5792,2226,22,0.9992276035878911,0.01906893427510759,4.502,0.07726211531323154,4123637.305630929,4122850.9719433743
Schattdorf,CH,1683102,1213,,4,0.9996559940465594,0.013906430257654792,3.516,0.034408905725562454,16333169.079077043,16335440.43984389
Gachnang,CH,1684523,4571,2012,20,0.9987286053668385,0.050820696962156506,3.906,0.12718800981206,9736115.557591831,9731167.595808422
